id,priority,title,problem,evidence,url,queries,current_metrics,cause,fix,files,risk,effort,dependencies,acceptance_criteria,measurement,recheck_date
T11,P2,UZ-статья «ChatGPT bilan tarjima»,"Интент «перевод» не покрыт; запросы уходят на RU-чат","query__last28: chatgpt tarjima 337 (6,5), chatgpt uzbekcha tarjimon 57 (4,7), chatgpt tarjimon 17; кластер 463 показа/5 кликов; top_page /ru/gpt-chat/",https://gptbot.uz/uz/blog/chatgpt-bilan-tarjima-qilish/ (новая),"chatgpt tarjima; chatgpt tarjimon; chatgpt uzbekcha tarjimon","463 показа, 5 кликов, поз. 6,4",Нет страницы под интент,"Новая UZ-статья по образцу промптов: примеры перевода uz↔ru↔en, ограничения, вход в чат; ссылки из чата и download-статьи","content/blog/uz/chatgpt-bilan-tarjima-qilish.json (новый); content/pages/uz/gpt-uzbek-tilida.json; content/blog/uz/chatgpt-telefon-va-kompyuterga-yuklab-olish.json",низкий,1–2 дня,Редактор UZ,"В sitemap с lastmod; indexed; ≥ 2 входящих ссылки","Показы по tarjima-запросам на новой странице через 6–8 недель",2026-11-20
T12,P2,«yozish»: расширить insho-статью,"chatgpt yozish уходит на RU-чат","query_page__last28: chatgpt yozish 243 показа (8,9) → /ru/gpt-chat/; есть /uz/blog/insho-yozish-suniy-intellekt-bilan/",https://gptbot.uz/uz/blog/insho-yozish-suniy-intellekt-bilan/,"chatgpt yozish","243 показа, 1 клик",Статья узко про сочинения,"title/H1 «insho, xat, post va referat yozish», H2 по типам текстов, ссылка на чат",content/blog/uz/insho-yozish-suniy-intellekt-bilan.json,низкий,1 день,—,"Обновлённые title/H2","chatgpt yozish → UZ-страница в query_page через 6 недель",2026-11-20
T13,P2,"Кластер главных / , /ru/, /uz/","/ только x-default; /ru/ и /uz/ — самостоятельные главные; бренд делится","site_pages.json: hreflang '/' = {x-default}; cannibalization: gptbot / 13 показов/10 кликов vs /ru/ 6; titles: '/' «GPTBot — AI-бот для бизнеса…», /ru/ «AI-боты для бизнеса в Узбекистане»",https://gptbot.uz/,gptbot,"/: 105 показов/12 кликов; /ru/: 134/3; /uz/: 41/2 (28д)",Неописанный языковой кластер главных,"Решение владельца: / = ru + x-default, /uz/ = uz; /ru/ → canonical на / или noindex; правка prerender-home и sitemap","scripts/prerender-home.ts; scripts/generate-sitemap.ts:74-79; content/pages/ru/* (/ru/); content/pages/uz/* (/uz/); docs/seo/evidence/2026-09-14/reviewed-protected-pages.json",средний (главная защищена),1 день,Решение владельца; отдельный релиз,"hreflang согласован на трёх URL; один canonical на язык","Брендовые показы на одном URL; без потери кликов",2026-11-01
T14,P3,Длинные title/description,"24 title > 65 и 32 description > 165 символов на сервисных страницах","site_pages.csv: title_len до 89 (например /ru/ai-menedzher-dlya-instagram/), description до 207",https://gptbot.uz/ru/ai-bot-dlya-biznesa/ и ещё 23,—,"страницы с 20–90 показами",Цена + суффикс бренда в title,"≤ 60 / ≤ 155, цену оставить где она дифференциатор, суффикс «| GPTBot»","content/pages/ru/*.json; content/pages/uz/*.json (список в pages_all.csv)",нулевой,1 день,—,"site_crawl: title_over_65 = 0 на правленных URL","CTR сервисных страниц (малая выборка)",2026-11-20
T15,P3,SEO-сервис под локальные запросы,"Сервисная страница уступает статье по показам, но лучше по позиции; локальные запросы без кликов","cannibalization: продвижение сайта — блог 21 (62,2) vs сервис 11 (13,8); country_query_top UZB: seo ташкент 30 (38,3), seo в ташкенте 22 (45,6), seo продвижение цена 7 (12,4)",https://gptbot.uz/ru/seo-prodvizhenie-saytov-tashkent/,"seo ташкент; seo в ташкенте; seo продвижение цена; продвижение сайта","3050 слов, позиции 12–46",Локальные ответы ниже по странице; нет ссылки из статьи,"FAQ с ценами выше, H2 «SEO Ташкент», ссылка из статьи с якорем «SEO-продвижение сайтов в Ташкенте»","content/pages/ru/seo-prodvizhenie-saytov-tashkent.json; content/blog/ru/chto-takoe-seo-prodvizhenie.json",нулевой,1 день,—,"Ссылка и FAQ в HTML","Позиция seo ташкент через 8 недель",2026-12-01
T16,P3,Instagram Direct: лендинг ↔ статья,"Лендинг и статья делят запрос на позициях 26–29","cannibalization: бот для инстаграм директ 80/90д (53 vs 27); 48 показов из России",https://gptbot.uz/ru/instagram-direct-bot/,"бот для инстаграм директ","53 показа/0 кликов, поз. 26,2",Оба URL без точного соответствия формулировке,"H1 лендинга «Бот для Instagram Direct для бизнеса в Узбекистане»; ссылка из статьи с якорем","content/pages/ru/instagram-direct-bot.json; content/blog/ru/instagram-direct-bot-kak-rabotaet.json",нулевой,0.5 дня,—,"Одна доминирующая страница","Доля лендинга ≥ 80%",2026-12-01
T17,P3,«instagram direct nima» — определение,"Информационный запрос «что такое Direct» на статье про бота","country_query_top UZB: instagram direct nima 29 (7,0), instagramda direct nima 10 (7,0); 0 кликов",https://gptbot.uz/uz/blog/instagram-direct-ai-bot-qanday-ishlaydi/,"instagram direct nima; instagramda direct nima","38 показов/0 кликов, поз. 7,8",Нет прямого ответа в первом экране,"Блок «Instagram Direct nima?» 2–3 предложения в начале",content/blog/uz/instagram-direct-ai-bot-qanday-ishlaydi.json,нулевой,0.2 дня,—,"Блок в HTML","CTR запроса (малая выборка)",2026-12-01
T18,P3,«услуги смм специалиста» description,"78 показов на позиции 9,2 без кликов","query__last28: услуги смм специалиста 78 (9,2); page /ru/blog/chto-vhodit-v-uslugi-smm-specialista/ 176 показов, поз. 15,8, 1 клик",https://gptbot.uz/ru/blog/chto-vhodit-v-uslugi-smm-specialista/,"услуги смм специалиста","176 показов/1 клик",Сниппет без прямого ответа и цены,"description с составом работ и ценой «от 2 490 000 сум/мес», ссылка на /ru/smm-prodvizhenie-tashkent/",content/blog/ru/chto-vhodit-v-uslugi-smm-specialista.json,нулевой,0.2 дня,—,"Новый description в HTML","≥ 1–2 клика/28д (направление)",2026-12-01
T19,P2,Автоматизация измерений,"Скрипты аудита лежат вне scripts/, нет npm-команд","seo-audit/gsc-2026-09-17/scripts/*.py",—,—,—,Разовый аудит,"Перенести в scripts/seo/gsc/, добавить npm run seo:gsc:pull / seo:gsc:analyze, еженедельный запуск; секретов в коде нет","scripts/seo/gsc/gsc_pull.py; analysis.py; charts.py; site_crawl.py; package.json",нулевой,0.5 дня,Авторизованный OpenSEO MCP на машине,"probe работает; secret scan зелёный","Еженедельные папки seo-audit/gsc-YYYY-MM-DD",2026-10-05
T20,P3,Core Web Vitals лабораторно,"CWV не измерены (квота PSI, нет ключа/Lighthouse)","pagespeed.json: Quota exceeded",https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,—,—,Нет инструмента,"Lighthouse mobile для 4 лидеров или PSI с API-ключом; зафиксировать LCP/INP/CLS",docs/seo/gsc-audit-2026-09-17/lighthouse/,нулевой,0.5 дня,Установка lighthouse или ключ PSI,"4 JSON-отчёта","Повтор через 8 недель",2026-11-20
