query,page,clicks_28d,impressions_28d,ctr_28d,position_28d,topic,topic_group,language,intent,is_brand,is_local,is_commercial_modifier,position_bucket,clicks_90d,impressions_90d,ctr_90d,position_90d,clicks_prev28,impressions_prev28,position_prev28,page_locale,page_type,language_mismatch
chatgpt kirish uzbek tilida,https://gptbot.uz/uz/gpt-uzbek-tilida/,7,1920,0.0036458333333333,5.868229166666667,chatgpt_login,chatgpt_product,uz,navigational,False,False,False,4-10,7,1936,0.0036157024793388,5.889462809917355,0.0,16.0,8.4375,uz,landing,False
chatgpt uzbekcha online,https://gptbot.uz/ru/gpt-chat/,7,1011,0.0069238377843719,5.0,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,7,1013,0.0069101678183613,5.002961500493584,0.0,2.0,6.5,ru,landing,True
chat gpt yuklash,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,7,613,0.0114192495921696,7.192495921696574,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10,7,614,0.011400651465798,7.198697068403908,0.0,1.0,11.0,uz,blog,False
chatgpt uzbek tilida gaplashish,https://gptbot.uz/uz/gpt-uzbek-tilida/,6,638,0.0094043887147335,7.018808777429467,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,6,642,0.0093457943925233,7.015576323987539,0.0,4.0,6.5,uz,landing,False
gptbot,https://gptbot.uz/,6,7,0.8571428571428571,1.0,brand,brand,neutral,navigational,True,False,False,1-3,10,13,0.7692307692307693,1.3846153846153846,2.0,2.0,1.5,root,home,False
как оплатить чат gpt в узбекистане,https://gptbot.uz/ru/blog/kak-oplatit-chatgpt-v-uzbekistane/,5,22,0.2272727272727272,1.8181818181818183,chatgpt_payment,chatgpt_product,ru,informational,False,True,False,1-3,5,22,0.2272727272727272,1.8181818181818183,,,,ru,blog,False
chatgpt uzbekcha,https://gptbot.uz/uz/gpt-uzbek-tilida/,4,873,0.0045819014891179,6.20504009163803,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,4,873,0.0045819014891179,6.20504009163803,,,,uz,landing,False
jaji piti online,https://gptbot.uz/ru/gpt-chat/,4,612,0.0065359477124183,6.892156862745098,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,4,612,0.0065359477124183,6.892156862745098,,,,ru,landing,True
chatgpt bepul,https://gptbot.uz/ru/gpt-chat/,4,223,0.0179372197309417,6.147982062780269,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,4,223,0.0179372197309417,6.147982062780269,,,,ru,landing,True
чат джипити узбекча,https://gptbot.uz/ru/gpt-chat/,4,38,0.1052631578947368,6.315789473684211,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,4,38,0.1052631578947368,6.315789473684211,,,,ru,landing,True
chat gpt uzbekcha,https://gptbot.uz/ru/gpt-chat/,4,18,0.2222222222222222,4.611111111111111,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,4,18,0.2222222222222222,4.611111111111111,,,,ru,landing,True
chatgpt kirish,https://gptbot.uz/uz/gpt-uzbek-tilida/,3,1796,0.0016703786191536,7.71826280623608,chatgpt_login,chatgpt_product,uz,navigational,False,False,False,4-10,3,1796,0.0016703786191536,7.71826280623608,,,,uz,landing,False
chatgpt kirish,https://gptbot.uz/uz/blog/chatgpt-ozbekistonda-vpnsiz-ishlaydimi/,3,1714,0.0017502917152858,8.79463243873979,chatgpt_login,chatgpt_product,uz,navigational,False,False,False,4-10,3,1714,0.0017502917152858,8.79463243873979,,,,uz,blog,False
chatgpt tarjima,https://gptbot.uz/uz/gpt-uzbek-tilida/,3,324,0.0092592592592592,6.521604938271605,chatgpt_translate,chatgpt_product,uz,informational,False,False,False,4-10,3,334,0.0089820359281437,6.520958083832335,0.0,10.0,6.5,uz,landing,False
chatgpt uz,https://gptbot.uz/uz/gpt-uzbek-tilida/,3,316,0.0094936708860759,5.860759493670886,chatgpt_online,chatgpt_product,neutral,transactional,False,True,False,4-10,3,326,0.00920245398773,5.957055214723926,0.0,10.0,9.0,uz,landing,False
чат гпт узбекча,https://gptbot.uz/uz/gpt-uzbek-tilida/,3,136,0.0220588235294117,5.860294117647059,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,3,136,0.0220588235294117,5.860294117647059,,,,uz,landing,False
chatgpt kirish login,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,3,111,0.027027027027027,6.126126126126126,chatgpt_login,chatgpt_product,uz,navigational,False,False,False,4-10,3,111,0.027027027027027,6.126126126126126,,,,uz,blog,False
chatgpt uzbekistan,https://gptbot.uz/ru/gpt-chat/,3,90,0.0333333333333333,4.044444444444444,chatgpt_online,chatgpt_product,en,transactional,False,True,False,4-10,4,96,0.0416666666666666,4.239583333333334,1.0,6.0,7.166666666666667,ru,landing,False
chatgpt yuklash apk,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,3,65,0.0461538461538461,7.061538461538461,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10,3,65,0.0461538461538461,7.061538461538461,,,,uz,blog,False
chatgpt uzbekcha скачать,https://gptbot.uz/ru/gpt-chat/,2,243,0.0082304526748971,8.8559670781893,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10,2,243,0.0082304526748971,8.8559670781893,,,,ru,landing,True
chatgpt ochish,https://gptbot.uz/uz/blog/chatgpt-ozbekistonda-vpnsiz-ishlaydimi/,2,193,0.0103626943005181,6.455958549222798,chatgpt_login,chatgpt_product,uz,navigational,False,False,False,4-10,2,193,0.0103626943005181,6.455958549222798,,,,uz,blog,False
chatgpt skachat uzbek tilida,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,2,126,0.0158730158730158,7.26984126984127,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10,2,126,0.0158730158730158,7.26984126984127,,,,uz,blog,False
chatgpt ozbekcha,https://gptbot.uz/uz/gpt-uzbek-tilida/,2,119,0.0168067226890756,6.504201680672269,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,2,119,0.0168067226890756,6.504201680672269,,,,uz,landing,False
chatgpt uzbekcha,https://gptbot.uz/ru/gpt-chat/,2,111,0.018018018018018,6.405405405405405,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,2,111,0.018018018018018,6.405405405405405,,,,ru,landing,True
chatgpt oʻzbek tilida,https://gptbot.uz/uz/gpt-uzbek-tilida/,2,101,0.0198019801980198,6.7227722772277225,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,2,102,0.0196078431372549,6.794117647058823,0.0,1.0,14.0,uz,landing,False
chatgpt uzb,https://gptbot.uz/ru/gpt-chat/,2,83,0.0240963855421686,4.518072289156626,chatgpt_online,chatgpt_product,uz,transactional,False,True,False,4-10,2,96,0.0208333333333333,4.552083333333334,0.0,13.0,4.769230769230769,ru,landing,True
chatgpt на узбекском,https://gptbot.uz/ru/gpt-chat/,2,64,0.03125,4.375,chatgpt_online,chatgpt_product,ru,transactional,False,False,False,4-10,3,79,0.0379746835443038,4.962025316455696,1.0,15.0,7.466666666666667,ru,landing,False
chat gpt uzb,https://gptbot.uz/ru/gpt-chat/,2,36,0.0555555555555555,3.611111111111111,chatgpt_online,chatgpt_product,uz,transactional,False,True,False,4-10,2,41,0.048780487804878,4.0,0.0,5.0,6.8,ru,landing,True
chatgpt yuklab olish uzbek tilida,https://gptbot.uz/uz/gpt-uzbek-tilida/,2,26,0.0769230769230769,14.423076923076923,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,11-20,2,28,0.0714285714285714,14.928571428571429,0.0,2.0,21.5,uz,landing,False
chatgpt online uzbek tilida,https://gptbot.uz/uz/gpt-uzbek-tilida/,2,22,0.0909090909090909,6.590909090909091,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,2,36,0.0555555555555555,6.444444444444445,0.0,14.0,6.214285714285714,uz,landing,False
чат гпт узб,https://gptbot.uz/ru/gpt-chat/,2,20,0.1,3.35,chatgpt_online,chatgpt_product,uz,transactional,False,True,False,4-10,2,26,0.0769230769230769,3.5384615384615383,0.0,6.0,4.166666666666666,ru,landing,True
chatgpt bepul versiyasi,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,2,18,0.1111111111111111,7.833333333333333,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,2,18,0.1111111111111111,7.833333333333333,,,,uz,blog,False
chatgpt kirish uzbek tilida,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,1,959,0.0010427528675703,9.75286757038582,chatgpt_login,chatgpt_product,uz,navigational,False,False,False,4-10,1,959,0.0010427528675703,9.75286757038582,,,,uz,blog,False
chatgpt uzbek tilida,https://gptbot.uz/uz/gpt-uzbek-tilida/,1,273,0.0036630036630036,6.534798534798535,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,1,280,0.0035714285714285,6.589285714285714,0.0,7.0,8.714285714285715,uz,landing,False
chatgpt yozish,https://gptbot.uz/ru/gpt-chat/,1,209,0.0047846889952153,8.889952153110048,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,1,209,0.0047846889952153,8.889952153110048,,,,ru,landing,True
chat gpt uzbekcha,https://gptbot.uz/uz/gpt-uzbek-tilida/,1,161,0.0062111801242236,5.913043478260869,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,1,161,0.0062111801242236,5.913043478260869,,,,uz,landing,False
chatgpt oʻzbekcha,https://gptbot.uz/uz/gpt-uzbek-tilida/,1,117,0.0085470085470085,7.051282051282051,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,1,117,0.0085470085470085,7.051282051282051,,,,uz,landing,False
chatgpt yuklash,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,1,117,0.0085470085470085,7.401709401709402,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10,1,117,0.0085470085470085,7.401709401709402,,,,uz,blog,False
chatgpt ochish uzbek tilida,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,1,107,0.0093457943925233,6.289719626168225,chatgpt_login,chatgpt_product,uz,navigational,False,False,False,4-10,1,112,0.0089285714285714,6.321428571428571,0.0,5.0,7.0,uz,blog,False
chatgpt o'zbekcha,https://gptbot.uz/uz/gpt-uzbek-tilida/,1,103,0.0097087378640776,6.543689320388349,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,1,116,0.0086206896551724,6.568965517241379,0.0,13.0,6.769230769230769,uz,landing,False
chatgpt скачать uzbek tilida,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,1,68,0.0147058823529411,6.75,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10,1,68,0.0147058823529411,6.75,,,,uz,blog,False
chatgptga kirish,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,1,64,0.015625,3.65625,chatgpt_login,chatgpt_product,uz,navigational,False,False,False,4-10,1,64,0.015625,3.65625,,,,uz,blog,False
чат джипити узбек тилида,https://gptbot.uz/uz/gpt-uzbek-tilida/,1,62,0.0161290322580645,7.82258064516129,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,1,86,0.0116279069767441,7.546511627906977,0.0,24.0,6.833333333333333,uz,landing,False
chatgpt o'rnatish,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,1,60,0.0166666666666666,6.6,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10,1,68,0.0147058823529411,6.5588235294117645,0.0,8.0,6.25,uz,blog,False
chatgpt uzbekcha tarjimon,https://gptbot.uz/uz/gpt-uzbek-tilida/,1,57,0.0175438596491228,4.7368421052631575,chatgpt_translate,chatgpt_product,uz,informational,False,False,False,4-10,1,57,0.0175438596491228,4.7368421052631575,,,,uz,landing,False
chat gpt 4 uzbekistan,https://gptbot.uz/uz/gpt-uzbek-tilida/,1,55,0.0181818181818181,6.745454545454545,chatgpt_online,chatgpt_product,en,transactional,False,True,False,4-10,1,55,0.0181818181818181,6.745454545454545,,,,uz,landing,False
chatgpt ilovasi,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,1,46,0.0217391304347826,6.608695652173913,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10,1,46,0.0217391304347826,6.608695652173913,,,,uz,blog,False
chatgpt uchun prompt,https://gptbot.uz/uz/blog/chatgpt-uzbek-tilida-promptlar/,1,40,0.025,7.625,chatgpt_prompts,chatgpt_product,uz,informational,False,False,False,4-10,1,54,0.0185185185185185,6.814814814814815,0.0,14.0,4.5,uz,blog,False
chat gpt uz,https://gptbot.uz/ru/gpt-chat/,1,38,0.0263157894736842,4.105263157894736,chatgpt_online,chatgpt_product,en,transactional,False,True,False,4-10,1,68,0.0147058823529411,4.955882352941177,0.0,30.0,6.033333333333333,ru,landing,False
chatgpt ochish,https://gptbot.uz/uz/gpt-uzbek-tilida/,1,26,0.0384615384615384,9.038461538461538,chatgpt_login,chatgpt_product,uz,navigational,False,False,False,4-10,1,30,0.0333333333333333,9.1,0.0,4.0,9.5,uz,landing,False
chatgpt uzbekcha скачать,https://gptbot.uz/uz/gpt-uzbek-tilida/,1,18,0.0555555555555555,10.055555555555555,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,11-20,1,18,0.0555555555555555,10.055555555555555,,,,uz,landing,False
chatgpt tarjimon,https://gptbot.uz/uz/gpt-uzbek-tilida/,1,17,0.0588235294117647,7.764705882352941,chatgpt_translate,chatgpt_product,uz,informational,False,False,False,4-10,1,17,0.0588235294117647,7.764705882352941,,,,uz,landing,False
разработка сайтов,https://gptbot.uz/ru/razrabotka-saytov-tashkent/,1,14,0.0714285714285714,44.5,webdev,services_web,ru,commercial,False,False,True,21-50,1,46,0.0217391304347826,75.1304347826087,0.0,30.0,88.3,ru,landing,False
чати пити узбекча,https://gptbot.uz/ru/gpt-chat/,1,14,0.0714285714285714,6.071428571428571,other,other,uz,unknown,False,False,False,4-10,1,14,0.0714285714285714,6.071428571428571,,,,ru,landing,True
chat gpt uchun prompt,https://gptbot.uz/uz/blog/chatgpt-uzbek-tilida-promptlar/,1,13,0.0769230769230769,3.230769230769231,chatgpt_prompts,chatgpt_product,uz,informational,False,False,False,4-10,1,14,0.0714285714285714,3.4285714285714284,0.0,1.0,6.0,uz,blog,False
bepul chatgpt,https://gptbot.uz/uz/gpt-uzbek-tilida/,1,11,0.0909090909090909,7.090909090909091,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,1,11,0.0909090909090909,7.090909090909091,,,,uz,landing,False
chatgpt yuklash uzbek tilida,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,1,6,0.1666666666666666,4.333333333333334,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10,1,6,0.1666666666666666,4.333333333333334,,,,uz,blog,False
чат гпт узбек тилида,https://gptbot.uz/uz/gpt-uzbek-tilida/,1,6,0.1666666666666666,6.333333333333333,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,2,7,0.2857142857142857,6.0,1.0,1.0,4.0,uz,landing,False
chatgpt узбекистан,https://gptbot.uz/ru/gpt-chat/,1,3,0.3333333333333333,6.333333333333333,chatgpt_online,chatgpt_product,ru,transactional,False,True,False,4-10,1,5,0.2,5.0,0.0,2.0,3.0,ru,landing,False
как поговорить с ии,https://gptbot.uz/ru/blog/chat-s-ii-gde-poobshchatsya-s-iskusstvennym-intellektom/,1,2,0.5,14.5,ai_general,ai_informational,ru,informational,False,False,False,11-20,1,2,0.5,14.5,,,,ru,blog,False
chatgpt oʻzbekcha,https://gptbot.uz/ru/gpt-chat/,1,1,1.0,1.0,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,1-3,1,1,1.0,1.0,,,,ru,landing,True
chpjt,https://gptbot.uz/ru/gpt-chat/,1,1,1.0,3.0,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,1-3,1,1,1.0,3.0,,,,ru,landing,True
прайс смм специалиста,https://gptbot.uz/ru/blog/stoimost-i-pakety-smm-uslug-v-tashkente/,1,1,1.0,4.0,smm,services_marketing,ru,commercial,False,False,True,4-10,1,1,1.0,4.0,,,,ru,blog,False
chatgpt ochish uzbek tilida,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,0,322,0.0,6.071428571428571,chatgpt_login,chatgpt_product,uz,navigational,False,False,False,4-10,0,322,0.0,6.071428571428571,,,,uz,blog,False
seo продвижение,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/,0,228,0.0,60.280701754385966,seo,services_web,ru,commercial_investigation,False,False,False,51+,0,263,0.0,61.97338403041825,0.0,35.0,73.0,ru,blog,False
chachipiti oʻzbek tilida,https://gptbot.uz/uz/gpt-uzbek-tilida/,0,161,0.0,8.298136645962732,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,0,161,0.0,8.298136645962732,,,,uz,landing,False
chatgpt ozbekcha,https://gptbot.uz/ru/gpt-chat/,0,137,0.0,5.518248175182482,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,0,137,0.0,5.518248175182482,,,,ru,landing,True
chatgpt yuklab olish kompyuter uchun,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,0,132,0.0,7.204545454545454,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10,0,139,0.0,7.273381294964029,0.0,7.0,8.571428571428571,uz,blog,False
chatgpt online kirish,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,0,101,0.0,5.237623762376238,chatgpt_login,chatgpt_product,uz,navigational,False,False,False,4-10,0,101,0.0,5.237623762376238,,,,uz,blog,False
chatgpt uzbek,https://gptbot.uz/uz/gpt-uzbek-tilida/,0,99,0.0,6.696969696969697,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,0,99,0.0,6.696969696969697,,,,uz,landing,False
chatgpt узбекча,https://gptbot.uz/ru/gpt-chat/,0,99,0.0,6.595959595959596,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,0,99,0.0,6.595959595959596,,,,ru,landing,True
лид это,https://gptbot.uz/ru/blog/chto-takoe-lid-v-marketinge/,0,99,0.0,24.444444444444443,leads_automation,services_bots,ru,informational,False,False,False,21-50,0,109,0.0,25.376146788990827,0.0,10.0,34.6,ru,blog,False
chatgpt ga kirish,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,0,95,0.0,7.88421052631579,chatgpt_login,chatgpt_product,uz,navigational,False,False,False,4-10,0,95,0.0,7.88421052631579,,,,uz,blog,False
seo продвижение сайтов,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/,0,94,0.0,59.96808510638298,seo,services_web,ru,commercial_investigation,False,False,False,51+,0,140,0.0,64.31428571428572,0.0,46.0,73.19565217391305,ru,blog,False
продвижение сайтов,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/,0,92,0.0,55.22826086956522,seo,services_web,ru,commercial_investigation,False,False,False,51+,0,104,0.0,56.98076923076923,0.0,12.0,70.41666666666667,ru,blog,False
chatgpt 4 uzbek tilida,https://gptbot.uz/uz/gpt-uzbek-tilida/,0,90,0.0,9.1,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,0,90,0.0,9.1,,,,uz,landing,False
услуги смм специалиста,https://gptbot.uz/ru/blog/chto-vhodit-v-uslugi-smm-specialista/,0,76,0.0,9.421052631578949,smm,services_marketing,ru,commercial,False,False,True,4-10,0,77,0.0,9.415584415584416,0.0,1.0,9.0,ru,blog,False
чат-бот мастер для бизнеса,https://gptbot.uz/ru/chat-bot-dlya-biznesa/,0,73,0.0,58.45205479452055,chatbot_dev,services_bots,ru,commercial_investigation,False,False,False,51+,0,108,0.0,61.43518518518518,0.0,26.0,64.11538461538461,ru,landing,False
chatgpt uzbekistan,https://gptbot.uz/uz/gpt-uzbek-tilida/,0,71,0.0,5.535211267605634,chatgpt_online,chatgpt_product,en,transactional,False,True,False,4-10,0,73,0.0,5.616438356164384,0.0,2.0,8.5,uz,landing,False
chatgpt uzbekcha online,https://gptbot.uz/uz/gpt-uzbek-tilida/,0,68,0.0,6.352941176470588,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,0,70,0.0,6.442857142857143,0.0,2.0,9.5,uz,landing,False
chatgpt uzbekcha скачать,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,0,67,0.0,7.447761194029851,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10,0,67,0.0,7.447761194029851,,,,uz,blog,False
onlayn chatgpt,https://gptbot.uz/ru/gpt-chat/,0,67,0.0,6.298507462686567,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,0,67,0.0,6.298507462686567,,,,ru,landing,True
chatgpt kirish uzbek tilida,https://gptbot.uz/uz/blog/chatgpt-ozbekistonda-vpnsiz-ishlaydimi/,0,64,0.0,8.0,chatgpt_login,chatgpt_product,uz,navigational,False,False,False,4-10,0,64,0.0,8.0,,,,uz,blog,False
лид,https://gptbot.uz/ru/blog/chto-takoe-lid-v-marketinge/,0,63,0.0,28.80952380952381,leads_automation,services_bots,ru,commercial_investigation,False,False,False,21-50,0,68,0.0,29.544117647058822,0.0,5.0,38.8,ru,blog,False
что такое сео продвижение,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/,0,61,0.0,64.90163934426229,seo,services_web,ru,informational,False,False,False,51+,0,66,0.0,65.87878787878788,0.0,5.0,77.8,ru,blog,False
chatgpt uzbek tilida skachat,https://gptbot.uz/uz/gpt-uzbek-tilida/,0,60,0.0,8.166666666666668,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10,0,60,0.0,8.166666666666668,,,,uz,landing,False
что такое seo продвижение,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/,0,59,0.0,70.38983050847457,seo,services_web,ru,informational,False,False,False,51+,0,66,0.0,70.13636363636364,0.0,7.0,68.0,ru,blog,False
jaji piti online,https://gptbot.uz/uz/gpt-uzbek-tilida/,0,58,0.0,7.913793103448276,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,0,58,0.0,7.913793103448276,,,,uz,landing,False
чат жпт узбекча,https://gptbot.uz/uz/gpt-uzbek-tilida/,0,50,0.0,6.74,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,1,74,0.0135135135135135,6.743243243243243,1.0,24.0,6.75,uz,landing,False
продвижение seo,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/,0,49,0.0,64.87755102040816,seo,services_web,ru,commercial_investigation,False,False,False,51+,0,72,0.0,69.31944444444444,0.0,23.0,78.78260869565217,ru,blog,False
продвижение сайта seo,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/,0,49,0.0,58.69387755102041,seo,services_web,ru,commercial_investigation,False,False,False,51+,0,68,0.0,62.61764705882353,0.0,19.0,72.73684210526316,ru,blog,False
сео продвижение,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/,0,49,0.0,59.06122448979592,seo,services_web,ru,commercial_investigation,False,False,False,51+,0,60,0.0,62.16666666666666,0.0,11.0,76.0,ru,blog,False
chatgpt õzbekcha,https://gptbot.uz/uz/gpt-uzbek-tilida/,0,47,0.0,7.1063829787234045,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,0,47,0.0,7.1063829787234045,,,,uz,landing,False
chat gpt uzbek tilida,https://gptbot.uz/uz/gpt-uzbek-tilida/,0,44,0.0,5.363636363636363,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,0,52,0.0,5.673076923076923,0.0,6.0,7.5,uz,landing,False
seo продвижение это,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/,0,44,0.0,62.20454545454545,seo,services_web,ru,informational,False,False,False,51+,0,51,0.0,62.68627450980392,0.0,7.0,65.71428571428571,ru,blog,False
chaji piti online,https://gptbot.uz/ru/gpt-chat/,0,43,0.0,5.8604651162790695,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,0,43,0.0,5.8604651162790695,,,,ru,landing,True
chatgpt.uz,https://gptbot.uz/ru/gpt-chat/,0,43,0.0,4.837209302325581,chatgpt_online,chatgpt_product,neutral,transactional,False,True,False,4-10,0,75,0.0,4.640000000000001,0.0,32.0,4.375,ru,landing,False
